chromosome	position 1	position 2	2.R2	1.R1	2.R1	1.R2	3.R2	3.R1	1.R3
W	4521	4932	683	1490		693	1125	973	1176
X	1918	14385	304	195			401	329	541
Z	5754	22605				790			313
Y	9727	19043	293	825	453	290	501	1002	293
X	10960	11097	979	999			1549	1729	1722
Z	10001	19180				1017			399
Z	5754	19180				807			297
Z	3288	12741				1047			379
X	6713	8905	725	942			1698	1371	1301
Y	20550	20002	498	2217	907	714	993	1848	604
X	6302	6302	1271	1445		904	2127	1841	2775
Z	6439	13289				1237			412
Z	22331	23016				1257			493
Z	3836	24934				414			122
Z	8357	11782				1483			497
W	0	10823	181	297		189	150	143	168
Z	3288	16440				932			281
Z	18221	24660				1124			319
Z	7124	15481				1312			498
Y	14385	18084	375	1804	594	466	658	1146	423
Y	4384	16577	145	569	281	234	276		169
Z	15344	21509				1056			380
Y	4247	13563	324	1235	665	407	576	1356	390
Z	7535	9042				1358			474
Z	12330	18769				1060			359
Z	19591	19728				1129			413
Z	685	15755				1243			397
Z	6302	14248				1270			423
Y	6987	10549	449	1967	1033	597	1074	2019	556
Z	3014	26852				318			99
Y	12467	16988	323	1169	833	434	704	1107	501
Z	4932	6576				1332			437
Z	4247	4932				1623			591
Y	7124	13426	310	1069	798	532	808	1278	458
X	3973	10412	614	670			1065	1032	1177
Y	20550	16714	383	1550	722	506	862	1393	626
X	1781	13563	325	263			327	320	484
X	7946	10960	674	710			1064	1211	1097
Z	20413	21783				1189			382
Y	12330	17947	243	1030	545	360	501	1023	329
X	5891	13426	544	813			1233	1361	1284
W	548	1233	405	937		444	669	861	737
Y	5891	20413	138	768	293	276	520	578	213
Z	2740	6165				1567			469
W	8083	9864	453	966		480	658	719	742
Z	6987	20139				543			202
Z	7946	20961				656			218
Y	10549	16303	300	1322	845	533	665	1330	401
Z	14659	21509				1129			455
Z	7946	8357				1458			587
X	12330	12467	776	968				1398	1594
Z	4795	10412				1587			473
Z	13289	20961				991			358
Z	3151	5343				1978			613
Z	8768	26304				555			220
Y	8768	21235	292	1091	676	381	533	1392	412
X	4932	10412	647	751			1250	1145	1136
X	822	10960	395	508			969	787	888
W	3425	4110	634	1088		641	824	986	1189
X	5480	6713	1010	1228			2059	1924	1522
Z	17673	20139				1232			429
X	2329	12193	252	312			599	609	514
Z	5754	20687				802			247
X	9042	12604	617	660			924	1026	962
Z	2466	15207				1413			386
Z	11234	19728				1037			340
Z	6713	13289				1236			338
X	6713	14111	396	585			1029	974	856
Y	13700	15070	399	1859	695	564	816	1274	559
Y	8357	8357	441	2188	942	667	1239	2073	775
Y	4384	5754	470	1947	847	511	1219	1591	559
X	137	6165	448	615			752	793	1004
Z	8905	15892				1325			447
Y	959	21098	43	155	82	77	136	249	91
Y	8905	18358	201	931	610	311	456	991	295
X	9042	10138	809	866			1335	1486	1533
W	7124	7124	627	1324		650	1091	1194	1021
X	13837	15481	542	660			926	1087	1192
Y	11508	14796	387	1847	695	574	816	1508	488
Z	7261	26304				526			199
Y	10686	11782	387	2005	912	720	994	1711	737
Z	2877	11508				1534			467
Z	959	15207				1249			420
Z	12193	20961				987			303
X	3699	13563	454	616			758	814	958
Z	7124	16440				1500			483
X	1644	15344	137	283			422	463	561
Z	1918	15070				1241			350
Z	3425	19317				770			296
Y	2192	5617	273	1158	554	380	648	1109	396
Y	2466	4932	307	1255	561	435	591	923	348
X	7398	15344	507	630			900	919	906
Z	4384	4658				1708			556
Z	2877	14385				1132			450
Z	16988	17947				1563			578
Z	8083	16440				1778			441
X	822	1096	757	802		570	1132	1446	1380
X	4247	12193	494	594			890	891	1516
X	6028	6987	1092	941			1825	1533	1640
Y	7946	11371	412	1494	808	621	835	1142	565
Z	1644	25756				184			85
Z	13015	13563				1776			595
X	9590	10823	686	894			1203	1255	1334
Y	6302	18632	180	780	461	290	510	782	253
Y	548	16166	111	395	206	130	477	641	133
Y	5069	16714	153	714	329	300	348	757	257
Z	15481	17536				1523			505
Z	8220	10686				1215			447
Z	11645	19317				1339			355
Y	2877	11371	268	1171	614	348	702	955	429
Y	4110	11645	247	1088	562	327	469	938	288
Y	12193	16029	333	1501	705	526	798	1467	536
X	1918	4932	575	823			941	1192	1373
Z	7261	19865				667			200
Z	1096	8357				1457			514
Z	2329	22468				527			135
Y	18632	14796	312	1115	511	493	758	1321	311
Y	3014	3699	353	1241	677	392	800	1070	487
W	5754	10823	269	664		376	618	634	474
X	2603	6302	766	791			1218	1220	1666
Y	1918	17262	142	592	267	211	326	509	163
Z	1370	2329				2162			765
Z	19043	19728				1124			377
X	10275	10823	716	1174			1415	1428	1571
Y	2603	16851	185	681	291	243	516	652	278
Y	13974	19728	327	2045	746	536	982	1648	577
Y	9179	9727	530	2049	886	751	1153	1542	609
Z	17673	18632				1354			426
Z	4658	12604				1000			413
X	2192	7672	505	571			918	757	993
X	9727	13426	618	933			1101	1179	1089
Y	4795	6850	394	1837	610	643	860	1224	512
Z	822	13426				866			232
Z	16988	21372				1193			428
Y	1507	12604	253	929	448	308	435	769	260
X	5754	7535	660	946			1431	1490	1783
Z	11508	20413				1038			338
Z	17947	25345				1223			362
W	3288	9590	296	419		256	651	520	344
Z	9727	20413				1209			345
Y	12330	16577	296	1542	730	425	714		486
X	4521	6987	856	981			1306	1488	1493
Y	9042	14248	345	1355	728	458	925	1322	464
Y	7124	10138	449	2077	996	834	1307	2004	630
W	1370	7261	312	508		268	587	596	494
X	10138	12741	722	764			1194	1257	1160
Y	2466	2466	430	1369	766	672	849	1598	515
X	7809	15070	380	430			790	594	893
Z	685	20550				542			115
Z	22331	26578				1164			358
Z	685	12330				1048			400
Z	0	9864				973			319
Y	5754	17947	214	1018	374	338	511	770	315
Y	18084	14796	272	1246	563	382	755	1360	412
X	4384	6576	989	1156			1503	1573	1789
Z	3425	11097				1559			532
Z	1096	16303				1133			367
Z	1096	17810				565			235
Z	19454	22194				1386			411
Z	5206	26304				344			147
Y	1781	12878	202	640	423	272	389	874	229
X	1781	14248	275	315			330	381	396
Z	5480	5891				1834			526
Z	959	10823				1017			373
X	1644	8631	467	391			742	712	708
X	1233	12741	343	372			653	730	791
Y	17536	14796	361	1107	618	381	666	1281	424
Z	13152	18221				1248			498
W	7261	7809	619	980		619	857	907	836
Z	6713	23975				671			296
W	7672	8220	582	710		402	779	752	627
Z	7124	11097				1343			386
Y	14111	14111	518	1860	792	643	918	1836	676
Y	13015	13974	456	1853	781	711	981	1916	698
Z	12467	21783				786			338
Z	5069	27126				389			94
Z	2192	4110				1622			491
Y	6302	16166	284	1211	593	489	518	1065	384
Y	19317	18906	503	1688	871	557	1044	1934	620
Y	11508	17810	299	912	572	293	560	790	337
Z	4521	5343				1595			590
Z	8631	23838				924			251
Y	2603	8631	338	1568	634	464	765	1350	486
Z	8083	23290				790			307
Z	6302	20550				648			245
Z	11508	19454				963			378
Z	3562	3562				2019			786
Z	7398	11097				1255			422
Y	6987	15481	408	1665	834	518	992	1423	511
X	5480	8357	803	960			1225	1619	1874
Z	4932	18632				940			259
Y	822	16166	95	428	212	161	260	391	135
Y	3014	5754	402	1203	671	457	1018	1366	463
Y	1096	19591	126	754	211	170	222	525	220
Z	4384	17947				958			331
Z	12193	12193				1627			606
Y	14111	15755	380	1461	745	478	772	1401	501
Z	12193	25482				944			349
