chromosome	position 1	position 2	replicate 1.1	replicate 1.2	replicate 1.3	replicate 2.1	replicate 2.2	replicate 2.3
17	0	0	5945	6506	5807	2172	2553	4887
17	0	500000	4353	4685	3824	1901	1681	3452
17	0	1000000	1750	1515	1363	954	690	1389
17	0	1500000	1609	1281	1289	880	730	1412
17	0	2000000	1165	729	895	699	507	1040
17	0	2500000	1049	742	782	642	475	935
17	0	3000000	1054	857	760	666	488	938
17	0	3500000	924	701	684	599	350	809
17	0	4000000	762	482	598	412	279	614
17	0	4500000	757	668	646	381	268	588
17	0	5000000	442	448	333	211	151	318
17	0	5500000	492	442	334	305	199	438
17	0	6000000	548	470	401	448	240	627
17	0	6500000	394	345	235	289	169	408
17	0	7000000	402	402	295	315	158	379
17	0	7500000	391	334	274	260	148	365
17	0	8000000	380	369	252	263	156	381
17	0	8500000	329	329	252	205	132	286
17	0	9000000	546	537	446	359	216	485
17	0	9500000	606	682	407	401	208	521
17	0	10000000	411	426	299	275	139	400
17	0	10500000	255	309	211	122	81	175
17	0	11000000	142	152	96	89	53	116
17	0	11500000	103	116	80	80	49	116
17	0	12000000	158	204	126	128	68	164
17	0	12500000	208	233	143	137	79	179
17	0	13000000	282	287	238	189	132	276
17	0	13500000	538	496	427	320	232	454
17	0	14000000	241	271	171	164	94	220
17	0	14500000	230	242	196	187	130	219
17	0	15000000	316	260	233	220	117	263
17	0	15500000	461	424	307	358	219	445
17	0	16000000	383	278	265	247	145	302
17	0	16500000	364	327	244	225	162	324
17	0	17000000	379	304	257	265	117	316
17	0	17500000	338	326	230	209	123	294
17	0	18000000	312	317	227	218	123	260
17	0	18500000	299	270	241	241	143	292
17	0	19000000	310	292	231	198	94	251
17	0	19500000	299	317	202	163	107	249
17	0	20000000	288	252	182	198	109	227
17	0	20500000	307	271	234	182	127	263
17	0	21000000	261	277	198	178	104	220
17	0	21500000	286	275	210	182	89	215
17	0	22000000	242	239	160	136	84	195
17	0	22500000	322	237	208	198	116	271
17	0	23000000	313	277	230	187	105	271
17	0	23500000	299	252	200	209	109	257
17	0	24000000	313	301	217	179	113	263
17	0	24500000	226	241	174	135	87	198
17	0	25000000	204	225	149	139	77	149
17	0	25500000	284	311	225	198	113	256
17	0	26000000	146	176	95	101	53	154
17	0	26500000	143	181	96	99	57	128
17	0	27000000	134	151	108	96	81	146
17	0	27500000	139	169	117	103	59	143
17	0	28000000	153	170	107	121	48	141
17	0	28500000	139	159	118	90	44	129
17	0	29000000	113	113	76	101	47	94
17	0	29500000	117	152	90	108	56	150
17	0	30000000	52	78	45	59	27	58
17	0	30500000	54	80	37	57	24	75
17	0	31000000	59	69	38	55	27	59
17	0	31500000	44	44	38	39	25	58
17	0	32000000	40	43	27	42	24	47
17	0	32500000	30	37	35	24	19	44
17	0	33000000	51	60	46	50	21	76
17	0	33500000	29	44	30	40	19	51
17	0	34000000	49	69	42	49	24	66
17	0	34500000	30	29	27	29	9	50
17	0	35000000	37	41	32	41	20	45
17	0	35500000	24	45	20	26	10	20
17	0	36000000	23	42	18	32	16	27
17	0	36500000	30	44	20	17	12	27
17	0	37000000	25	37	22	18	13	27
17	0	37500000	25	28	17	18	9	27
17	0	38000000	12	19	9	17	8	21
17	0	38500000	28	33	12	22	10	25
17	0	39000000	30	31	17	18	15	33
17	0	39500000	22	31	18	19	8	28
17	0	40000000	21	21	23	18	16	33
17	0	40500000	23	41	21	23	16	47
17	0	41000000	33	35	31	23	12	30
17	0	41500000	44	55	31	43	20	40
17	0	42000000	55	71	48	51	34	76
17	0	42500000	62	63	41	50	38	66
17	0	43000000	46	79	38	51	32	41
17	0	43500000	59	78	37	40	23	46
17	0	44000000	111	123	72	96	53	78
17	0	44500000	263	235	154	173	98	198
17	0	45000000	270	267	196	201	98	265
17	0	45500000	208	208	133	152	81	191
17	0	46000000	108	142	87	85	41	87
17	0	46500000	84	109	67	58	31	65
17	0	47000000	46	76	37	59	28	55
17	0	47500000	38	60	40	39	22	41
17	0	48000000	48	60	32	32	19	50
17	0	48500000	49	60	38	34	23	56
17	0	49000000	20	26	18	20	16	36
17	0	49500000	33	44	21	24	15	31
17	0	50000000	42	33	15	28	14	30
17	0	50500000	31	34	18	19	14	29
17	0	51000000	22	38	21	28	9	24
17	0	51500000	21	26	19	28	11	22
17	0	52000000	29	43	27	28	8	38
17	0	52500000	52	66	32	35	24	52
17	0	53000000	81	104	59	74	32	91
17	0	53500000	141	139	91	88	62	153
17	0	54000000	112	129	79	87	53	117
17	0	54500000	107	132	56	74	40	90
17	0	55000000	162	159	136	87	56	122
17	0	55500000	256	262	196	132	88	180
17	0	56000000	251	239	173	181	79	225
17	0	56500000	245	246	154	157	87	195
17	0	57000000	122	169	111	90	49	97
17	0	57500000	67	125	52	58	32	59
17	0	58000000	35	63	38	38	13	36
17	0	58500000	43	48	33	27	21	53
17	0	59000000	45	57	39	25	13	34
17	0	59500000	68	62	57	66	32	91
17	0	60000000	80	80	59	65	31	75
17	0	60500000	66	86	54	61	46	82
17	0	61000000	43	69	33	37	7	51
17	0	61500000	20	19	14	16	9	16
17	0	62000000	13	28	14	22	10	21
17	0	62500000	23	28	18	14	11	16
17	0	63000000	99	149	49	88	48	102
17	500000	500000	6778	6144	6282	2385	2678	5336
17	500000	1000000	4246	3279	3416	1838	1682	3396
17	500000	1500000	2923	1974	2363	1408	1219	2443
17	500000	2000000	1262	796	1020	729	456	1098
